x,y,z,s,yaw
-2.356,-4.126,0.057,14.852350230181402,1.162
-2.282,-3.955,0.056,15.038675215086808,1.162
-2.218,-3.808,0.056,15.199003004318744,1.162
-2.146,-3.641,0.056,15.380862840456357,1.162
-2.056,-3.435,0.056,15.605664975677534,1.162
-1.958,-3.207,0.055,15.853834272730978,1.162
-1.848,-2.952,0.055,16.131548154270956,1.163
-1.743,-2.711,0.056,16.39442835512298,1.163
-1.642,-2.47,0.058,16.655736602218244,1.201
-1.562,-2.237,0.06,16.902087977290517,1.299
-1.51,-2.003,0.061,17.141796133180133,1.422
-1.493,-1.859,0.062,17.286796133180133,1.501
-1.487,-1.705,0.062,17.4409129719746,1.543
-1.483,-1.568,0.062,17.577971353695677,1.545
-1.481,-1.469,0.063,17.67699155365508,1.545
-1.48,-1.402,0.063,17.743999015926082,1.556
-1.479,-1.336,0.063,17.810006591248918,1.559
-1.478,-1.265,0.063,17.881013633153223,1.559
-1.478,-1.179,0.057,17.967013633153222,1.574
-1.479,-1.121,0.057,18.025022253202316,1.605
-1.482,-1.045,0.056,18.10108144068154,1.636
-1.488,-0.968,0.056,18.178314853140137,1.65
-1.497,-0.858,0.056,18.288682420840072,1.651
-1.506,-0.743,0.057,18.404034057152696,1.651
-1.513,-0.657,0.059,18.490318470577137,1.651
-1.519,-0.588,0.06,18.559578848860827,1.653
-1.526,-0.515,0.062,18.632913697330025,1.683
-1.537,-0.418,0.057,18.730535416224953,1.702
-1.547,-0.349,0.057,18.800256288279165,1.738
-1.562,-0.265,0.056,18.885585064199134,1.758
-1.583,-0.159,0.056,18.99364523262395,1.759
-1.605,-0.042,0.056,19.112695642115057,1.759
-1.625,0.066,0.058,19.222531883857023,1.759
-1.642,0.15,0.059,19.308234859301287,1.759
-1.655,0.222,0.059,19.38139905819665,1.759
-1.677,0.335,0.058,19.496520732958615,1.759
-1.702,0.47,0.057,19.633816035136075,1.759
-1.725,0.591,0.057,19.75698258903769,1.761
-1.75,0.72,0.056,19.888382741244605,1.762
-1.791,0.93,0.056,20.102347691645367,1.762
-1.834,1.149,0.057,20.325529232100664,1.762
-1.864,1.305,0.059,20.484387659639147,1.767
-1.891,1.433,0.06,20.615204325244108,1.804
-1.917,1.536,0.061,20.721435205876812,1.825
-1.941,1.629,0.061,20.817482069438306,1.825
-1.956,1.686,0.062,20.87642271755147,1.825
-1.971,1.742,0.062,20.934396849714012,1.825
-1.985,1.796,0.062,20.99018215243794,1.825
-2.01,1.9,0.059,21.0971447627277,1.78
-2.027,1.987,0.058,21.185790123576425,1.761
-2.042,2.066,0.059,21.26620156554832,1.76
-2.053,2.124,0.06,21.325235454120904,1.76
-2.063,2.175,0.06,21.37720659996165,1.76
-2.078,2.252,0.058,21.45565403459147,1.76
-2.092,2.324,0.057,21.52900251787504,1.76
-2.11,2.417,0.057,21.62372843829812,1.76
-2.131,2.527,0.056,21.735715044640127,1.76
-2.151,2.632,0.056,21.842602836272288,1.76
-2.172,2.745,0.056,21.957537600377844,1.76
-2.196,2.869,0.056,22.08383882760862,1.758
-2.221,3.005,0.056,22.222117531681228,1.727
-2.24,3.151,0.056,22.36934864252401,1.665
-2.252,3.313,0.055,22.531792478972182,1.626
-2.26,3.473,0.057,22.69199235412819,1.622
-2.267,3.618,0.058,22.83716122131396,1.622
-2.273,3.745,0.059,22.96430287459879,1.602
-2.275,3.858,0.06,23.077320572327952,1.558
-2.271,3.955,0.061,23.174403011522692,1.497
-2.262,4.036,0.062,23.255901477765928,1.424
-2.249,4.107,0.061,23.328081807496403,1.341
-2.217,4.21,0.06,23.435938193491854,1.181
-2.163,4.313,0.06,23.552235226987985,0.991
-2.102,4.393,0.061,23.65283840785221,0.859
-2.049,4.45,0.061,23.73067156274137,0.784
-2.01,4.486,0.062,23.783746980780233,0.749
-1.97,4.522,0.059,23.837561476968528,0.736
-1.898,4.585,0.057,23.93323278928314,0.685
-1.833,4.634,0.057,24.014633034983014,0.611
-1.77,4.676,0.057,24.090349611767756,0.563
-1.709,4.713,0.058,24.161693847694703,0.536
-1.662,4.74,0.06,24.215897168626174,0.531
-1.618,4.766,0.062,24.267004897982897,0.531
-1.557,4.803,0.058,24.338349133909844,0.53
-1.46,4.857,0.057,24.449367150465715,0.487
-1.394,4.89,0.056,24.523157393723206,0.436
-1.315,4.925,0.056,24.609563412032117,0.395
-1.197,4.972,0.056,24.736579159087356,0.371
-1.077,5.019,0.057,24.865455068395494,0.37
-0.989,5.053,0.059,24.95979487971606,0.37
-0.919,5.08,0.06,25.034821541643673,0.369
-0.858,5.103,0.061,25.1000135656957,0.35
-0.793,5.125,0.062,25.168635719552892,0.304
-0.714,5.145,0.058,25.25012805048041,0.161
-0.646,5.151,0.06,25.318392243143915,0.05
-0.584,5.152,0.058,25.380400307135623,6.233
-0.485,5.139,0.057,25.480250194466556,6.058
-0.403,5.114,0.057,25.565976503147148,5.914
-0.332,5.082,0.059,25.643854613036897,5.813
-0.286,5.056,0.06,25.69669399229139,5.763
-0.213,5.012,0.058,25.78192896164083,5.72
-0.165,4.98,0.057,25.839617782048254,5.671
-0.099,4.929,0.057,25.923026414695002,5.57
-0.028,4.861,0.056,26.021337146560857,5.466
0.052,4.768,0.056,26.144011512261276,5.376
0.131,4.66,0.058,26.277821078436492,5.324
0.195,4.568,0.06,26.38989248424547,5.318
0.233,4.514,0.061,26.455922780322343,5.318
0.268,4.462,0.06,26.518604516099202,5.307
0.302,4.41,0.061,26.580733414367238,5.271
0.358,4.317,0.057,26.689292154227278,5.216
0.395,4.243,0.057,26.77202666939477,5.133
0.434,4.146,0.056,26.876573309704252,5.054
0.467,4.044,0.058,26.983778720015486,5.009
